"Item","Designator","Comment","Footprint","Qty","LCSC Part #","MPN","Manufacturer"
"1","C1","2.2uF","Capacitor_SMD:C_1206_3216Metric","1","C170101","CL31B225KCHSNNE","Samsung"
"2","C2","100nF","Capacitor_SMD:C_0603_1608Metric","1","C113803","CC0603KRX7R0BB104","Yageo"
"3","C3","100nF","Capacitor_SMD:C_0402_1005Metric","1","C1525","CL05B104KO5NNNC","Samsung"
"4","C4,C5","10uF","Capacitor_SMD:C_0805_2012Metric","2","C15850","CL21A106KAYNNNE","Samsung"
"5","D1,D2","MBRD10200","Package_TO_SOT_SMD:TO-252-2","2","C260297","MBRD10200","onsemi"
"6","JBUS1,JBUS2","Conn_01x04_XH","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","2","C157925","S4B-XH-A(LF)(SN)","JST"
"7","JDC1,JDC2","DC-005 2.0mm","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","2","C2880546","DC-005K-5A-2.0","XKB Connectivity"
"8","J_ESP_L?","ESP32-L 1x19","Connector_PinHeader_2.54mm:PinSocket_1x19_P2.54mm_Vertical","1","","",""
"9","J_ESP_R?","ESP32-R 1x19","Connector_PinHeader_2.54mm:PinSocket_1x19_P2.54mm_Vertical","1","","",""
"10","L1","10uH","Inductor_SMD:L_Changjiang_FNR4030S","1","C167879","FNR4030S100MT","Sunlord"
"11","R1","100k","Resistor_SMD:R_0402_1005Metric","1","C25741","0402WGF1003TCE","UNI-ROYAL"
"12","R2","22k","Resistor_SMD:R_0402_1005Metric","1","C25768","0402WGF2202TCE","UNI-ROYAL"
"13","R3","10k","Resistor_SMD:R_0402_1005Metric","1","C25744","0402WGF1002TCE","UNI-ROYAL"
"14","U1","SIT3088EEUA","Package_SO:MSOP-8_3x3mm_P0.65mm","1","C2922535","SIT3088EEUA","3PEAK"
"15","U2","LMR38020SDDAR","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1","C3192337","LMR38020SDDAR","Texas Instruments"
