Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_1206_3216Metric,170.695000,-75.575000,0.000000,Top
C2,100nF,C_0603_1608Metric,169.875000,-78.505000,0.000000,Top
C3,100nF,C_0402_1005Metric,160.855000,-87.015000,0.000000,Top
C4,10uF,C_0805_2012Metric,167.295000,-81.985000,0.000000,Top
C5,10uF,C_0805_2012Metric,167.295000,-84.995000,0.000000,Top
D1,MBRD10200,TO-252-2,152.185000,-94.820000,0.000000,Top
D2,MBRD10200,TO-252-2,152.185000,-103.015000,0.000000,Top
J_USB2,USB-TYPE-C-019,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,151.115000,-112.325000,0.000000,Top
L1,10uH,L_Changjiang_FNR4030S,162.245000,-83.255000,0.000000,Top
R1,100k,R_0402_1005Metric,170.975000,-81.475000,0.000000,Top
R2,22k,R_0402_1005Metric,170.975000,-83.465000,0.000000,Top
R3,10k,R_0402_1005Metric,170.975000,-85.455000,0.000000,Top
R4,120R,R_1206_3216Metric,149.755000,-84.765000,0.000000,Top
R5,120R,R_1206_3216Metric,149.755000,-88.075000,0.000000,Top
R_BOOT2,10k,R_0402_1005Metric,155.815000,-74.895000,0.000000,Top
R_CC1,5.1k,R_0402_1005Metric,155.815000,-76.885000,0.000000,Top
R_CC2,5.1k,R_0402_1005Metric,155.815000,-78.875000,0.000000,Top
R_EN2,10k,R_0402_1005Metric,155.815000,-80.865000,0.000000,Top
SW_BOOT2,BOOT,SW_Push_1P1T_XKB_TS-1187A,142.675000,-77.225000,0.000000,Top
SW_RESET2,RESET,SW_Push_1P1T_XKB_TS-1187A,142.675000,-83.875000,0.000000,Top
U1,SIT3088EEUA,MSOP-8_3x3mm_P0.65mm,150.655000,-76.230000,0.000000,Top
U2,LMR38020SDDAR,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,163.645000,-77.260000,0.000000,Top
U3,SIT3088EEUA,MSOP-8_3x3mm_P0.65mm,150.655000,-80.835000,0.000000,Top
U4,ESP32-S3-MINI-1-N8,ESP32-S3-MINI-1,186.600000,-117.800000,0.000000,Top
