"Item","Designator","Comment","Footprint","Qty","LCSC Part #","MPN","Manufacturer"
"1","C1","2.2uF","Capacitor_SMD:C_1206_3216Metric","1","C170101","CL31B225KCHSNNE","Samsung"
"2","C2","100nF","Capacitor_SMD:C_0603_1608Metric","1","C113803","CC0603KRX7R0BB104","Yageo"
"3","C3","10nF","Capacitor_SMD:C_0402_1005Metric","1","C15195","CL05B103KB5NNNC","Samsung"
"4","C4,C14","10uF","Capacitor_SMD:C_0402_1005Metric","2","C315248","CL05A106MP5NUNC","Samsung"
"5","C5","4.7nF","Capacitor_SMD:C_0402_1005Metric","1","C1538","0402B472K500NT","FH"
"6","C6","33pF","Capacitor_SMD:C_0402_1005Metric","1","C107005","CC0402JRNPO9BN330","Yageo"
"7","C_5VOUT2,C_5VOUT3","2.2uF","Capacitor_SMD:C_0603_1608Metric","2","C380323","TCC0603X5R226M6R3CT","TDK"
"8","C_BRA_FILT2,C_BRA_FILT3,C_BRB_FILT2,C_BRB_FILT3,C_MCU_VDD?,C_NRST?,C_VCC_IO2,C_VCC_IO3,C_VCP2,C_VCP3,C_VS2,C_VS3,C_VSA2,C_VSA3","100nF","Capacitor_SMD:C_0402_1005Metric","14","C307331","CL05B104KB54PNC","Samsung"
"9","C_CP2,C_CP3","22nF","Capacitor_SMD:C_0402_1005Metric","2","C1532","0402B223K500NT","FH"
"10","C_MCU_BULK?","4.7uF","Capacitor_SMD:C_0603_1608Metric","1","C19666","CL10A475KO8NNNC","Samsung"
"11","C_VCC2,C_VCC3","470nF","Capacitor_SMD:C_0603_1608Metric","2","C1623","CL10B474KA8NNNC","Samsung"
"12","C_VS_BULK2,C_VS_BULK3","10uF","Capacitor_SMD:C_1210_3225Metric","2","C2918502","CS3225X7R106K500NRL","Samsung"
"13","D1,D2","SS54","Diode_SMD:D_SMA","2","C22452","SS54","Multiple"
"14","JBUS1,JBUS2","Conn_01x04_XH","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","2","C157925","S4B-XH-A(LF)(SN)","JST"
"15","JMOT1","Stepper 1","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1","C595709","B4B-XH-A-R(LF)(SN)","JST"
"16","JMOT2","Stepper 2","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1","C595709","B4B-XH-A-R(LF)(SN)","JST"
"17","JPWR2","Conn_01x02_XH","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","1","C157931","S2B-XH-A(LF)(SN)","JST"
"18","J_USB?","USB-TYPE-C-019","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","C2927039","USB-TYPE-C-019","Generic"
"19","L1","100uH","Inductor_SMD:L_Sunlord_SWPA4018S","1","C142135","LVS404018-101M-N","BOURNS/LVS"
"20","R1","143k","Resistor_SMD:R_0402_1005Metric","1","C82292","0402WGF1433TCE","UNI-ROYAL"
"21","R2","31.6k","Resistor_SMD:R_0402_1005Metric","1","C25777","0402WGF3163TCE","UNI-ROYAL"
"22","R3,R5,R_BOOT0","10k","Resistor_SMD:R_0402_1005Metric","3","C25744","0402WGF1002TCE","UNI-ROYAL"
"23","R4","26.1k","Resistor_SMD:R_0402_1005Metric","1","C27003","0402WGF2613TCE","UNI-ROYAL"
"24","RSA2,RSA3,RSB2,RSB3","0.1R","Resistor_SMD:R_1210_3225Metric","4","C2974119","FRL1210FR100TS","UNI-ROYAL"
"25","R_CC1,R_CC2","5.1k","Resistor_SMD:R_0402_1005Metric","2","C25905","0402WGF5101TCE","UNI-ROYAL"
"26","R_DIAG1,R_DIAG2","47k","Resistor_SMD:R_0402_1005Metric","2","C93943","RC0402FR-0747KL","Yageo"
"27","R_VCC2,R_VCC3","2.2","Resistor_SMD:R_0402_1005Metric","2","C321161","RC-02U2R20FT","Hitano"
"28","U1","STM32G0B1KBU6","tsumikoro:UFQFPN-32","1","C5159549","STM32G0B1KBU6","STMicroelectronics"
"29","U2,U3","TMC2130-LA","Package_DFN_QFN:QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.6mm","2","C915795","TMC2130-LA-T","Trinamic/ADI"
"30","U4","SIT3088EEUA","Package_SO:MSOP-8_3x3mm_P0.65mm","1","C2922535","SIT3088EEUA","3PEAK"
"31","U9","TPS54061DRBT","Package_SON:Texas_S-PVSON-N8","1","C2070655","TPS54061DRBT",""
