Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_1206_3216Metric,144.125000,-73.435000,0.000000,Top
C2,100nF,C_0603_1608Metric,146.045000,-62.755000,0.000000,Top
C3,10nF,C_0402_1005Metric,136.955000,-62.485000,0.000000,Top
C4,10uF,C_0402_1005Metric,136.955000,-64.455000,0.000000,Top
C5,4.7nF,C_0402_1005Metric,136.955000,-66.425000,0.000000,Top
C6,33pF,C_0402_1005Metric,136.955000,-68.395000,0.000000,Top
C14,10uF,C_0402_1005Metric,136.955000,-70.365000,0.000000,Top
C_5VOUT2,2.2uF,C_0603_1608Metric,193.400000,-70.600000,0.000000,Top
C_5VOUT3,2.2uF,C_0603_1608Metric,190.720000,-125.015000,0.000000,Top
C_BRA_FILT2,100nF,C_0402_1005Metric,189.400000,-62.600000,90.000000,Top
C_BRA_FILT3,100nF,C_0402_1005Metric,187.280000,-112.185000,0.000000,Top
C_BRB_FILT2,100nF,C_0402_1005Metric,183.800000,-78.000000,-90.000000,Top
C_BRB_FILT3,100nF,C_0402_1005Metric,187.280000,-114.155000,0.000000,Top
C_CP2,22nF,C_0402_1005Metric,191.400000,-68.520000,-90.000000,Top
C_CP3,22nF,C_0402_1005Metric,187.280000,-116.125000,0.000000,Top
C_VCC2,470nF,C_0603_1608Metric,193.400000,-69.000000,180.000000,Top
C_VCC3,470nF,C_0603_1608Metric,190.720000,-127.525000,0.000000,Top
C_VCC_IO2,100nF,C_0402_1005Metric,182.200000,-72.520000,-90.000000,Top
C_VCC_IO3,100nF,C_0402_1005Metric,187.280000,-118.095000,0.000000,Top
C_VCP2,100nF,C_0402_1005Metric,189.600000,-66.200000,0.000000,Top
C_VCP3,100nF,C_0402_1005Metric,187.280000,-120.065000,0.000000,Top
C_VS2,100nF,C_0402_1005Metric,189.120000,-76.600000,-90.000000,Top
C_VS3,100nF,C_0402_1005Metric,187.280000,-122.035000,0.000000,Top
C_VSA2,100nF,C_0402_1005Metric,189.600000,-65.200000,0.000000,Top
C_VSA3,100nF,C_0402_1005Metric,187.280000,-124.005000,0.000000,Top
C_VS_BULK2,10uF,C_1210_3225Metric,191.200000,-78.000000,-90.000000,Top
C_VS_BULK3,10uF,C_1210_3225Metric,191.540000,-121.635000,0.000000,Top
D1,SS34,D_SMA,122.220000,-85.645000,0.000000,Top
D2,SS34,D_SMA,122.220000,-90.195000,0.000000,Top
L1,100uH,L_Sunlord_SWPA4018S,141.215000,-64.275000,0.000000,Top
R1,143k,R_0402_1005Metric,139.845000,-68.045000,0.000000,Top
R2,31.6k,R_0402_1005Metric,139.845000,-70.035000,0.000000,Top
R3,10k,R_0402_1005Metric,139.845000,-72.025000,0.000000,Top
R4,26.1k,R_0402_1005Metric,139.845000,-74.015000,0.000000,Top
RSA2,0.1R,R_1210_3225Metric,187.000000,-62.600000,90.000000,Top
RSA3,0.1R,R_1210_3225Metric,183.040000,-113.305000,0.000000,Top
RSB2,0.1R,R_1210_3225Metric,186.400000,-78.000000,-90.000000,Top
RSB3,0.1R,R_1210_3225Metric,183.040000,-121.725000,0.000000,Top
R_DIAG1,47k,R_0402_1005Metric,192.200000,-71.800000,180.000000,Top
R_DIAG2,47k,R_0402_1005Metric,194.180000,-124.755000,0.000000,Top
R_VCC2,2.2,R_0402_1005Metric,191.400000,-70.400000,90.000000,Top
R_VCC3,2.2,R_0402_1005Metric,194.180000,-126.745000,0.000000,Top
U1,STM32G071G8U6,UFQFPN-28,121.910000,-100.345000,0.000000,Top
U2,TMC2130-LA,QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.6mm,186.765000,-70.735000,0.000000,Top
U3,TMC2130-LA,QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.6mm,192.745000,-115.355000,0.000000,Top
U4,SIT3088EEUA,MSOP-8_3x3mm_P0.65mm,121.855000,-94.800000,0.000000,Top
U9,TPS54061DRBT,Texas_S-PVSON-N8,143.925000,-69.440000,0.000000,Top
