"Item","Designator","Comment","Footprint","Qty","LCSC Part #","MPN","Manufacturer"
"1","C1","2.2uF","Capacitor_SMD:C_1206_3216Metric","1","C170101","CL31B225KCHSNNE","Samsung"
"2","C2","100nF","Capacitor_SMD:C_0603_1608Metric","1","C113803","CC0603KRX7R0BB104","Yageo"
"3","C3","10nF","Capacitor_SMD:C_0402_1005Metric","1","C15195","CL05B103KB5NNNC","Samsung"
"4","C4,C14","10uF","Capacitor_SMD:C_0402_1005Metric","2","C315248","CL05A106MP5NUNC","Samsung"
"5","C5","4.7nF","Capacitor_SMD:C_0402_1005Metric","1","C1538","0402B472K500NT","FH"
"6","C6","33pF","Capacitor_SMD:C_0402_1005Metric","1","C107005","CC0402JRNPO9BN330","Yageo"
"7","D1,D2","SS34","Diode_SMD:D_SMA","2","C8678","SS34","Multiple"
"8","JBUS1,JBUS2","Conn_01x04_XH","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","2","C157925","S4B-XH-A(LF)(SN)","JST"
"9","JMOT1","Stepper 1","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","1","C157925","S4B-XH-A(LF)(SN)","JST"
"10","JMOT2","Stepper 2","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","1","C157925","S4B-XH-A(LF)(SN)","JST"
"11","JPWR?","Conn_01x02_XH","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","1","C157931","S2B-XH-A(LF)(SN)","JST"
"12","L1","100uH","Inductor_SMD:L_Sunlord_SWPA4018S","1","C142135","LVS404018-101M-N","BOURNS/LVS"
"13","R1","143k","Resistor_SMD:R_0402_1005Metric","1","C82292","0402WGF1433TCE","UNI-ROYAL"
"14","R2","31.6k","Resistor_SMD:R_0402_1005Metric","1","C25777","0402WGF3163TCE","UNI-ROYAL"
"15","R3","10k","Resistor_SMD:R_0402_1005Metric","1","C25744","0402WGF1002TCE","UNI-ROYAL"
"16","R4","26.1k","Resistor_SMD:R_0402_1005Metric","1","C27003","0402WGF2613TCE","UNI-ROYAL"
"17","U1","STM32G071G8U6","tsumikoro:UFQFPN-28","1","C724080","STM32G071G8U6","STMicroelectronics"
"18","U2,U3","TMC2130-LA","Package_DFN_QFN:QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.6mm","2","C915795","TMC2130-LA-T","Trinamic/ADI"
"19","U2","TPS54061DRBT","Package_SON:Texas_S-PVSON-N8","1","C2070655","TPS54061DRBT",""
"20","U4","SIT3088EEUA","Package_SO:MSOP-8_3x3mm_P0.65mm","1","C2922535","SIT3088EEUA","3PEAK"
