"Item","Designator","Comment","Footprint","Qty","LCSC Part #","MPN","Manufacturer"
"1","C1,C25","2.2uF","Capacitor_SMD:C_1206_3216Metric","2","C170101","CL31B225KCHSNNE","Samsung"
"2","C2,C26","100nF","Capacitor_SMD:C_0603_1608Metric","2","C113803","CC0603KRX7R0BB104","Yageo"
"3","C3","10nF","Capacitor_SMD:C_0402_1005Metric","1","C15195","CL05B103KB5NNNC","Samsung"
"4","C4,C14","10uF","Capacitor_SMD:C_0402_1005Metric","2","C315248","CL05A106MP5NUNC","Samsung"
"5","C5","4.7nF","Capacitor_SMD:C_0402_1005Metric","1","C1538","0402B472K500NT","FH"
"6","C6","33pF","Capacitor_SMD:C_0402_1005Metric","1","C107005","CC0402JRNPO9BN330","Yageo"
"7","C7-C10,C13,C27","100nF","Capacitor_SMD:C_0402_1005Metric","6","C307331","CL05B104KB54PNC","Samsung"
"8","C11","22nF","Capacitor_SMD:C_0402_1005Metric","1","C1532","0402B223K500NT","FH"
"9","C12","220uF/50V","Capacitor_SMD:CP_Elec_10x10.5","1","C72499","RVT1H221M1010","Lelon"
"10","C28,C29","10uF","Capacitor_SMD:C_0805_2012Metric","2","C15850","CL21A106KAYNNNE","Samsung"
"11","D1","LED_R","LED_SMD:LED_0603_1608Metric","1","C2286","KT-0603R","Hubei KENTO Elec"
"12","D2,D3","SS36","Diode_SMD:D_SMA","2","C7420367","SS36","Multiple"
"13","JBUS1,JBUS2","Conn_01x04_XH","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","2","C157925","S4B-XH-A(LF)(SN)","JST"
"14","JI2C1","Conn_01x04","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","1","C131334","B4B-PH-K-S(LF)(SN)","JST"
"15","JLIM2","Limit","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","C131337","B2B-PH-K-S(LF)(SN)","JST"
"16","JMOTOR2","Motor","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","C131337","B2B-PH-K-S(LF)(SN)","JST"
"17","JPWR2","Conn_01x02_XH","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","1","C157931","S2B-XH-A(LF)(SN)","JST"
"18","JSERVO0-JSERVO3","Conn_01x03","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","4","C131339","B3B-PH-K-S(LF)(SN)","JST"
"19","L1","100uH","Inductor_SMD:L_Sunlord_SWPA4018S","1","C142135","LVS404018-101M-N","BOURNS/LVS"
"20","L2","10uH","Inductor_SMD:L_Changjiang_FNR4030S","1","C167879","FNR4030S100MT","Sunlord"
"21","R1","143k","Resistor_SMD:R_0402_1005Metric","1","C82292","0402WGF1433TCE","UNI-ROYAL"
"22","R2","31.6k","Resistor_SMD:R_0402_1005Metric","1","C25777","0402WGF3163TCE","UNI-ROYAL"
"23","R3,R8-R13,R20,R24,R25,R_BOOT0","10k","Resistor_SMD:R_0402_1005Metric","11","C25744","0402WGF1002TCE","UNI-ROYAL"
"24","R4","26.1k","Resistor_SMD:R_0402_1005Metric","1","C27003","0402WGF2613TCE","UNI-ROYAL"
"25","R15","1k","Resistor_SMD:R_0402_1005Metric","1","C11702","0402WGF1001TCE","UNI-ROYAL"
"26","R16-R19","100R","Resistor_SMD:R_0402_1005Metric","4","C25076","0402WGF1000TCE","UNI-ROYAL"
"27","R21","120R","Resistor_SMD:R_1206_3216Metric","1","C114928","RC1206FR-07120RL","Yageo"
"28","R22","100k","Resistor_SMD:R_0402_1005Metric","1","C25741","0402WGF1003TCE","UNI-ROYAL"
"29","R23","40.2k","Resistor_SMD:R_0402_1005Metric","1","C25893","0402WGF4022TCE","UNI-ROYAL"
"30","U2","TPS54061DRBT","Package_SON:Texas_S-PVSON-N8","1","C2070655","TPS54061DRBT",""
"31","U3","DRV8876PWPR","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm","1","C575551","DRV8876PWPR",""
"32","U4","STM32G030F6P6","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","1","C529330","STM32G030F6P6TR",""
"33","U5","SIT3088EEUA","Package_SO:MSOP-8_3x3mm_P0.65mm","1","C2922535","SIT3088EEUA",""
"34","U6","SRV05-4","Package_TO_SOT_SMD:SOT-23-6","1","C558418","SRV05-4","Littelfuse"
"35","U7","LMR38020SDDAR","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1","C3192337","LMR38020SDDAR","Texas Instruments"
